Set,Overall,Age,Height,Weight,International Reputation,Weak Foot,Skill Moves,Value,Wage
0,90,30,193,92,4,3,2,98000,230000
0,78,25,184,76,2,3,3,19500,38000
0,76,31,173,72,1,3,4,6000,17000
0,81,33,181,74,3,3,2,10500,60000
0,82,27,171,67,1,3,4,32500,21000
0,82,29,179,85,2,4,3,30500,76000
0,81,27,188,82,2,4,4,27500,60000
0,83,40,182,82,1,3,3,0.0,45000
0,80,26,175,73,1,4,3,23000,33000
0,77,23,181,71,1,3,3,15000,42000
0,81,26,166,60,2,3,3,28500,73000
0,81,26,184,78,1,3,3,28500,58000
0,80,27,184,80,2,3,3,22000,63000
0,80,31,185,76,3,3,3,15000,51000
0,77,29,178,74,1,4,4,9000,50000
0,81,35,170,61,3,4,3,10500,70000
0,79,33,185,85,3,2,4,11000,21000
0,81,24,182,74,2,2,3,38500,88000
0,84,22,181,70,2,4,5,68500,78000
0,82,33,192,83,3,4,4,19500,51000
0,81,25,181,71,3,5,4,34500,105000
0,84,23,178,68,3,2,5,63500,105000
0,85,19,174,61,2,4,4,116000,115000
0,79,29,184,76,2,3,3,17000,49000
0,85,30,180,77,2,4,3,53000,64000
0,83,26,187,84,2,4,3,40500,110000
0,77,30,175,75,2,3,3,9000,25000
0,81,36,179,67,3,4,3,5000,86000
0,76,32,180,80,1,3,3,5000,16000
0,86,28,177,75,3,3,4,69500,130000
0,79,25,187,73,2,4,4,24500,85000
0,84,33,181,76,3,3,4,26500,32000
0,78,29,180,73,1,4,2,12000,1000
0,82,25,180,77,2,3,3,37000,110000
0,74,32,183,80,3,4,3,3200,15000
0,82,29,186,75,3,4,4,27000,77000
0,73,32,178,70,1,3,3,2000,11000
0,84,30,173,73,3,3,3,36500,185000
0,82,24,183,62,2,3,3,40500,59000
0,79,31,177,72,3,4,3,14500,17000
0,77,28,175,70,2,4,4,10500,90000
0,75,28,187,83,1,5,3,5500,14000
0,86,34,170,67,4,3,3,15500,160000
0,78,30,167,66,1,4,3,13500,33000
0,75,28,172,66,1,4,3,5500,1000
0,79,23,183,76,1,3,3,35000,15000
0,78,31,182,77,2,4,4,11500,20000
0,75,27,173,75,1,4,3,6000,9000
0,79,32,178,82,2,3,4,14000,79000
0,84,31,170,68,2,5,4,35500,88000
0,86,27,170,69,4,3,4,72500,195000
0,83,27,180,79,1,4,4,42500,35000
0,77,27,176,70,1,4,4,10000,43000
0,79,20,190,79,1,4,4,38500,45000
0,75,34,182,80,2,4,3,2600,26000
0,82,20,178,65,2,3,3,60500,76000
0,78,22,186,73,1,5,3,15000,24000
0,80,31,180,80,3,3,3,15500,95000
0,79,33,181,80,3,4,4,11000,34000
0,81,26,178,72,2,3,3,32000,120000
0,76,24,185,77,1,3,3,12000,40000
0,80,33,171,68,3,4,3,10500,53000
0,79,22,188,88,1,3,2,18500,17000
0,76,24,184,76,1,3,3,12000,49000
0,83,30,177,75,1,4,4,35000,59000
0,76,26,177,70,1,4,4,10000,51000
0,81,25,178,70,2,3,3,33000,82000
0,78,30,191,90,2,4,3,12000,41000
0,74,29,182,77,2,3,3,3500,33000
0,80,29,179,68,1,3,3,18500,29000
0,75,24,182,75,1,3,4,8500,1000
0,77,26,168,68,1,4,3,12500,22000
0,80,29,178,69,1,3,3,18500,45000
0,79,32,185,83,2,3,3,11500,25000
0,78,24,175,75,2,2,3,20000,47000
0,80,25,193,88,2,3,3,25000,100000
0,81,29,176,73,2,4,3,25500,40000
0,77,35,169,67,3,2,3,3000,16000
0,75,34,186,84,2,4,3,2600,5000
0,79,35,184,75,2,4,3,4900,40000
0,78,29,174,71,2,4,4,13500,74000
0,81,22,190,75,2,3,4,53000,71000
0,82,32,174,66,2,3,3,20500,88000
0,76,27,180,73,2,4,4,8500,66000
0,81,22,186,75,2,3,4,41500,105000
0,78,24,167,58,1,3,4,19000,30000
0,77,38,172,70,4,3,4,2300,71000
0,79,28,185,77,2,3,4,17500,12000
0,80,33,190,80,2,3,3,13000,39000
0,82,27,172,66,3,3,4,32000,44000
0,80,29,174,70,3,4,4,20500,105000
0,82,25,175,73,1,4,4,38000,100000
0,76,28,182,76,1,3,3,7500,26000
0,78,26,179,71,2,3,3,15000,12000
0,80,34,180,70,2,4,4,10000,39000
0,79,21,175,68,2,5,3,35500,11000
0,85,28,176,78,4,3,5,55000,230000
0,74,30,172,63,1,2,3,3600,45000
0,81,24,173,77,1,4,4,39000,19000
0,76,24,173,68,1,2,3,11000,38000
0,74,27,179,80,1,3,3,4800,17000
0,84,29,170,66,2,3,4,41500,49000
0,77,28,180,78,1,3,3,10500,29000
0,84,25,183,74,1,4,3,47500,105000
0,79,31,180,74,2,3,3,12500,35000
0,77,25,184,74,2,4,3,14000,12000
0,77,25,184,75,2,3,4,14500,30000
0,81,27,172,64,2,4,4,29500,115000
0,77,34,175,68,1,3,3,3900,23000
0,81,24,191,77,2,4,3,35500,20000
0,78,36,178,77,2,4,3,2800,13000
0,84,26,183,80,3,2,4,49500,90000
0,78,23,180,69,2,3,4,22000,52000
0,78,30,173,66,1,3,4,12000,27000
0,77,28,184,74,1,3,3,10500,58000
0,79,26,180,69,3,4,4,20500,55000
0,74,25,169,61,1,3,3,6000,20000
0,80,28,185,78,1,4,4,21000,78000
0,77,29,179,69,2,4,3,10500,1000
0,78,29,179,70,1,3,4,13500,16000
0,74,26,170,79,1,2,3,4900,39000
0,79,27,175,67,1,3,3,19000,30000
0,79,27,185,74,2,3,3,18000,31000
0,75,28,176,73,1,5,3,5500,17000
0,78,26,184,73,1,2,3,16000,31000
0,85,22,171,69,3,3,4,109500,180000
0,88,28,183,75,3,3,3,92000,170000
0,80,26,181,75,2,2,3,22500,105000
0,78,30,177,79,2,4,4,13500,56000
0,80,26,178,68,2,4,4,26000,52000
0,79,28,174,74,2,3,3,16000,35000
0,80,31,175,74,2,3,4,15000,46000
0,74,24,175,64,2,3,4,6500,29000
0,81,27,170,64,2,4,3,29500,64000
0,79,29,180,73,1,3,3,15500,30000
0,76,27,180,70,2,4,3,7500,38000
0,83,29,181,65,3,2,5,35500,155000
0,77,34,173,68,1,3,3,3900,26000
0,83,25,175,73,2,3,4,48500,115000
0,72,27,173,71,1,4,3,2700,24000
0,78,22,176,75,1,3,4,15000,16000
0,79,30,181,79,2,3,4,17000,34000
0,78,34,180,88,2,2,3,5000,13000
0,81,27,192,86,1,3,3,28000,75000
0,82,30,172,68,4,4,5,29500,100000
0,77,24,178,76,1,3,3,14500,23000
0,84,23,185,80,1,3,2,52000,83000
0,81,27,173,63,1,3,3,30000,23000
0,75,29,171,70,1,3,3,5500,1000
0,74,36,172,72,2,3,4,1400,12000
0,72,33,181,72,2,2,3,1200,16000
0,74,25,177,70,1,4,4,5500,13000
0,84,24,175,70,3,4,4,66500,140000
0,82,31,188,81,3,4,3,25500,110000
0,79,24,175,70,2,3,4,26500,57000
0,84,24,178,84,1,4,5,85500,78000
0,80,29,175,76,1,3,3,18500,73000
0,81,29,172,65,3,2,3,22500,72000
0,81,24,186,70,3,3,5,37000,120000
0,72,24,177,71,1,5,3,3500,11000
0,79,26,185,80,1,4,3,19500,26000
0,74,36,175,65,2,3,4,1400,43000
0,77,28,177,77,2,3,3,9500,18000
0,75,25,170,70,1,3,3,7500,39000
0,81,30,176,72,4,4,4,25000,38000
0,81,32,172,63,2,4,4,20500,48000
0,77,24,187,70,1,4,3,15000,31000
0,77,21,192,81,1,3,3,21500,30000
0,80,32,180,72,3,3,3,13500,20000
0,79,24,180,70,2,2,4,25000,28000
0,79,29,185,85,2,4,3,15500,51000
0,79,26,178,67,2,3,4,21500,72000
1,76,31,175,68,1,3,3,6000,49000
0,85,34,176,67,2,4,3,26000,50000
0,79,30,187,73,2,2,3,14500,29000
0,75,29,170,65,1,3,3,5500,16000
0,76,27,189,88,2,4,2,8500,66000
0,76,29,184,78,1,4,3,6500,24000
0,81,22,178,69,1,4,4,27500,37000
0,77,28,177,72,2,4,3,10500,28000
0,82,26,185,84,3,3,4,38000,73000
0,78,21,192,79,1,4,4,32000,49000
0,75,31,172,67,2,4,3,4600,28000
0,80,24,179,75,1,3,4,31500,47000
0,76,24,179,76,1,4,4,11500,24000
0,76,30,183,75,1,4,3,7000,49000
0,87,33,173,70,4,4,4,51000,260000
0,79,28,181,77,1,3,4,17500,56000
0,73,31,175,69,1,4,3,2500,16000
0,78,26,174,70,1,3,3,17000,33000
0,78,30,187,82,1,3,3,13500,29000
0,80,32,178,69,1,4,4,0.0,0
0,76,32,178,68,1,4,4,6000,1000
0,82,30,182,75,3,3,4,29500,25000
0,80,20,176,70,1,4,3,44000,54000
0,79,28,187,77,3,5,4,17500,88000
0,75,26,170,69,1,3,3,7500,19000
0,84,27,183,72,2,3,4,45000,57000
0,82,23,186,80,1,3,3,61500,120000
0,86,31,179,67,3,4,5,56500,220000
0,82,32,178,77,3,3,2,20000,115000
0,80,29,175,71,2,4,4,20500,54000
0,79,30,182,75,2,3,3,15000,48000
0,82,26,188,80,3,3,2,34500,73000
0,78,23,177,67,2,4,3,19500,39000
0,75,26,173,70,1,3,3,6500,15000
0,79,30,184,73,1,4,4,17000,77000
0,86,32,185,85,4,4,3,55000,100000
0,74,27,178,71,1,4,3,4500,42000
0,78,27,187,85,2,4,3,15000,28000
0,80,30,181,80,2,3,4,20000,56000
0,74,21,171,68,1,3,4,9000,13000
0,85,26,176,77,4,4,4,59000,100000
0,74,23,184,88,1,4,2,9500,18000
0,77,37,167,67,1,4,4,3600,13000
0,78,30,170,65,1,3,4,12000,28000
0,81,33,189,90,3,4,2,13000,52000
0,80,24,174,78,2,3,3,27500,46000
0,78,31,170,67,2,3,3,10000,47000
0,83,23,189,76,2,4,4,52000,29000
0,75,28,184,85,2,4,3,5500,38000
0,75,24,186,76,1,3,3,8000,18000
0,81,24,180,75,1,2,3,34500,49000
0,74,24,183,76,1,3,3,6000,9000
0,84,25,181,79,2,3,3,53000,57000
0,78,24,175,72,2,2,3,20000,43000
0,75,24,193,81,1,4,3,8500,26000
0,74,31,183,77,1,3,3,3500,1000
0,79,24,180,76,1,3,3,23000,38000
0,79,31,186,77,3,4,3,14500,83000
0,81,28,186,80,2,2,4,26500,40000
0,76,29,178,72,1,2,3,7500,51000
0,76,34,176,83,4,3,3,3500,29000
0,75,35,179,77,2,2,3,2300,1000
0,77,21,176,71,1,4,3,21500,20000
0,80,30,178,68,3,3,3,18000,125000
0,78,29,170,67,2,3,4,12500,68000
0,78,24,183,76,1,3,3,18500,12000
0,75,32,178,72,1,3,4,5000,17000
0,77,26,188,80,3,3,4,14000,40000
0,79,32,177,82,2,2,4,12000,35000
0,81,25,191,81,2,3,3,34500,95000
0,76,30,177,75,2,3,3,6500,48000
0,75,32,176,72,3,3,4,0.0,0
0,75,27,187,74,1,3,3,6000,40000
0,77,28,175,68,2,3,3,10500,62000
0,75,26,173,68,1,4,2,7000,42000
0,79,33,168,62,4,4,4,11000,48000
0,79,22,182,77,1,2,3,35500,89000
0,79,25,179,76,1,3,4,23000,85000
0,76,21,187,75,1,3,3,17000,20000
0,76,29,176,74,1,4,4,7500,18000
0,76,29,175,80,2,3,3,6500,38000
0,77,23,178,72,1,3,3,23500,1000
0,82,30,176,79,3,3,4,29500,39000
0,76,33,178,72,1,4,3,4700,26000
0,76,28,170,60,1,3,4,7500,15000
0,72,29,181,80,2,3,3,2300,5000
0,81,31,175,73,3,4,4,22000,81000
0,81,35,189,84,3,2,2,5500,13000
0,77,26,176,72,1,3,4,12500,60000
0,75,26,180,75,1,3,3,7500,32000
0,84,25,180,73,1,4,4,56000,155000
0,75,32,179,66,3,2,4,3900,10000
0,79,29,179,73,3,4,3,17000,18000
0,75,29,168,67,1,3,3,5500,42000
0,80,31,178,66,2,4,3,17500,58000
0,78,29,181,79,2,3,4,14000,35000
0,77,22,184,74,1,4,3,23500,29000
0,73,31,172,72,2,2,4,2600,6000
0,79,24,179,74,2,2,3,24500,65000
0,79,28,186,82,2,3,2,0.0,0
0,77,28,182,71,2,4,3,9500,45000
0,74,25,183,78,1,3,3,6000,47000
0,78,29,175,60,2,3,4,14000,65000
0,76,27,175,70,1,3,3,8000,28000
0,75,33,180,70,2,3,3,2500,40000
0,79,25,175,70,1,3,3,20000,28000
0,73,32,179,75,2,3,4,2400,18000
0,75,28,173,70,1,3,3,5500,19000
2,78,29,177,68,1,4,4,14000,30000
0,84,31,175,74,4,4,4,35000,220000
0,83,34,183,76,2,3,3,12500,39000
0,75,25,179,74,1,3,4,6500,16000
0,81,31,184,73,3,3,3,17500,30000
0,80,28,185,72,3,3,3,19000,53000
0,75,30,182,74,2,4,3,5500,1000
0,77,25,183,71,2,4,4,14000,27000
0,77,34,183,75,2,4,4,5000,20000
0,78,26,168,62,1,4,4,16500,59000
0,79,33,189,86,4,3,3,8500,76000
0,82,31,177,73,3,4,4,25500,54000
0,84,24,186,78,2,3,2,57500,160000
0,74,34,184,76,1,4,3,1400,18000
0,75,35,183,75,2,3,3,1500,6000
0,73,25,175,73,1,3,3,4400,21000
0,80,27,172,70,1,2,3,20500,28000
0,72,26,178,68,1,5,3,2700,7000
0,74,32,179,79,2,3,3,3300,24000
0,80,30,175,71,2,3,3,18000,50000
0,75,35,183,84,3,2,3,1500,15000
0,76,23,171,62,1,3,4,11000,14000
0,76,28,176,73,1,3,4,7500,62000
0,74,28,174,76,1,2,3,3700,19000
0,81,28,181,78,2,4,3,26500,66000
0,79,30,181,76,2,3,3,0.0,0
0,81,35,191,89,3,3,3,7000,13000
0,74,35,181,73,2,4,3,1700,15000
0,74,29,186,82,2,4,3,4100,16000
0,75,26,172,70,2,3,3,6500,6000
0,75,21,180,72,1,4,3,12500,47000
0,77,27,176,79,2,2,3,10000,80000
0,79,26,177,75,1,4,2,17000,27000
0,77,27,188,81,2,4,3,11000,42000
0,79,27,189,78,1,3,3,20000,33000
0,76,28,182,74,1,3,3,0.0,0
0,76,26,183,77,1,3,2,8500,1000
0,78,32,175,66,2,3,3,9500,60000
0,76,26,169,60,1,4,3,9000,1000
0,82,34,185,77,4,4,3,15000,145000
0,76,30,177,65,1,4,4,7000,23000
0,78,25,181,73,1,3,2,17500,29000
0,82,24,179,72,3,4,4,46000,59000
0,81,20,185,80,1,4,3,53000,41000
0,75,23,169,65,1,4,3,8000,11000
0,75,23,175,76,1,4,4,11500,900
0,77,29,175,70,2,3,3,10500,46000
0,77,32,187,91,2,3,3,7000,25000
0,76,32,175,73,1,3,3,5000,38000
0,77,33,182,78,2,3,4,5500,25000
0,73,33,170,70,2,3,3,1800,35000
0,80,24,178,78,3,2,4,32000,21000
0,78,23,184,76,2,4,3,21000,78000
0,83,26,182,76,3,3,4,43000,200000
0,78,31,180,77,2,3,3,10000,43000
0,78,23,180,72,1,4,3,20000,57000
0,81,30,174,70,2,4,4,25000,95000
0,80,23,172,60,1,4,4,33500,48000
0,78,33,182,71,2,4,4,9000,22000
0,84,34,167,68,3,4,4,20000,47000
0,75,27,179,70,1,4,3,5500,38000
0,75,31,178,80,1,4,3,4800,13000
0,75,26,175,66,2,5,4,7000,33000
1,79,30,185,78,2,4,4,17000,32000
0,76,26,172,64,2,4,4,8000,13000
0,78,24,175,66,2,2,3,19500,59000
0,82,25,179,68,2,4,4,41000,105000
0,75,26,180,75,2,3,4,6000,45000
0,86,29,191,94,4,4,3,68000,200000
0,75,23,178,71,1,4,4,12500,11000
0,75,31,172,74,3,4,3,3900,37000
0,72,26,176,70,1,4,3,2600,19000
0,70,22,181,75,1,4,3,3600,15000
0,73,25,186,81,1,3,3,4000,13000
0,76,26,191,88,1,3,3,9500,14000
0,78,26,170,72,1,2,3,17000,46000
0,81,22,175,70,1,4,2,27000,31000
0,80,33,174,76,2,3,5,13000,1000
0,80,25,177,70,2,3,3,25500,60000
0,82,26,183,75,1,3,4,40500,74000
0,79,30,172,70,2,3,4,17000,12000
0,71,26,181,81,1,3,3,2300,11000
0,78,31,182,80,2,3,3,10000,2000
0,78,24,177,69,1,4,4,21000,19000
0,72,32,172,69,1,1,3,1800,750
0,79,28,174,67,2,3,3,16000,51000
0,76,27,182,84,1,4,3,0.0,0
0,75,28,182,79,1,3,3,3900,60000
0,77,31,181,78,2,4,4,8500,60000
0,75,27,175,70,1,3,3,5500,20000
0,75,26,180,69,1,3,3,7500,40000
0,80,25,185,77,2,4,3,29000,34000
0,82,22,184,77,1,4,4,49000,150000
0,79,23,176,69,2,3,3,24500,43000
0,79,26,187,80,2,3,3,23000,17000
0,75,28,178,72,1,3,3,5500,56000
0,77,25,183,75,2,2,3,14000,43000
0,78,34,190,85,3,3,3,7000,43000
0,76,22,171,65,1,4,4,17000,17000
0,75,31,180,77,1,4,3,3900,15000
0,76,24,184,77,1,3,3,11500,80000
0,76,24,179,73,1,5,3,12000,27000
0,85,33,187,80,3,4,4,34500,220000
0,75,23,174,66,1,3,4,8500,1000
0,78,30,172,71,1,3,3,12000,30000
0,72,37,178,70,1,3,3,750,5000
0,76,29,172,73,1,4,4,6500,13000
0,80,21,171,63,1,3,3,31500,38000
0,81,35,189,85,1,3,3,11000,50000
0,77,21,185,80,1,3,4,23500,21000
0,82,26,185,83,3,4,4,40000,60000
0,76,34,183,72,2,3,3,2700,38000
0,78,30,172,76,2,3,4,13500,40000
0,75,24,172,70,1,3,3,8500,21000
0,78,23,185,75,1,4,3,21000,18000
0,77,25,183,77,1,3,3,14000,40000
0,77,28,181,72,2,2,3,9500,26000
0,79,28,183,70,2,5,3,17500,2000
0,81,26,190,85,1,4,2,28500,66000
0,73,25,185,73,1,4,3,3900,19000
0,76,27,184,81,1,4,3,8500,32000
0,77,29,183,80,2,3,3,9500,27000
0,75,26,188,77,1,3,3,6500,1000
0,73,29,169,70,1,3,3,3000,11000
0,73,34,181,78,1,2,3,1400,12000
0,79,26,186,81,3,3,3,20000,56000
0,75,26,179,75,1,3,3,0.0,0
0,75,25,190,82,1,3,3,8000,38000
0,84,33,191,94,4,3,3,20000,66000
0,79,22,180,72,2,3,4,36000,46000
0,72,27,180,78,2,3,3,2400,4000
0,76,27,178,68,2,2,3,8500,18000
0,80,29,172,75,3,3,5,20500,85000
0,73,26,178,75,1,4,4,3700,5000
0,76,34,186,84,2,3,3,2800,28000
0,77,36,180,79,3,4,4,3300,21000
0,75,31,174,78,2,3,3,3900,58000
0,73,28,173,75,1,4,3,2800,40000
0,80,28,174,74,1,4,4,21000,31000
0,73,32,172,76,1,4,4,2400,57000
0,74,23,188,78,1,5,3,9000,39000
0,78,38,184,89,3,4,3,575,8000
0,75,31,182,71,2,4,4,0.0,0
0,73,25,174,68,1,3,2,4000,1000
0,79,22,176,65,2,2,3,24000,16000
0,74,26,190,83,1,4,3,4900,17000
0,75,33,173,70,2,4,4,3600,14000
0,75,29,186,70,1,4,3,5500,23000
0,75,32,184,76,2,4,3,4400,29000
0,73,29,168,68,1,3,3,2600,900
0,79,29,178,73,1,3,3,17500,95000
0,74,28,185,73,1,3,2,4200,1000
0,73,29,181,73,2,3,3,3000,17000
0,76,34,178,71,1,3,3,3500,25000
0,74,28,183,77,1,3,3,4200,12000
0,77,26,179,68,1,3,3,12500,80000
0,76,23,194,88,1,5,2,12000,23000
0,74,29,187,78,1,3,3,4100,6000
0,76,23,176,72,1,3,3,12000,49000
0,80,25,178,68,1,3,3,25500,82000
